,Palabra,Frecuencia,ID_Articulo
648,"negociada, bancolombia, bcolombia",1,2
649,"bancolombia, bcolombia, transacciones",1,2
650,"bcolombia, transacciones, cuarta",1,2
651,"transacciones, cuarta, negociada",1,2
652,"cuarta, negociada, millones",1,2
653,"negociada, millones, cerró",1,2
654,"millones, cerró, millones",1,2
655,"cerró, millones, millones",1,2
656,"millones, millones, acción",1,2
657,"millones, acción, valorada",1,2
658,"acción, valorada, grupo",1,2
659,"valorada, grupo, aval",1,2
660,"grupo, aval, contracción",1,2
661,"aval, contracción, variación",1,2
662,"contracción, variación, absoluta",1,2
663,"absoluta, porcentual, banco",1,2
664,"porcentual, banco, occidente",1,2
665,"banco, occidente, transada",1,2
666,"occidente, transada, movimientos",1,2
667,"transada, movimientos, millones",1,2
668,"ecopetrol, anunció, resultados",1,3
669,"anunció, resultados, oferta",1,3
670,"resultados, oferta, recompra",1,3
671,"oferta, recompra, enero",1,3
672,"recompra, enero, valor",1,3
673,"enero, valor, millones",1,3
674,"valor, millones, monto",1,3
675,"millones, monto, principal",1,3
676,"monto, principal, agregado",1,3
677,"principal, agregado, bonos",1,3
678,"agregado, bonos, senior",1,3
679,"bonos, senior, emitido",1,3
680,"senior, emitido, vencimiento",1,3
681,"emitido, vencimiento, septiembre",1,3
682,"vencimiento, septiembre, agente",1,3
683,"septiembre, agente, depositario",1,3
684,"agente, depositario, ayer",1,3
685,"depositario, ayer, hora",1,3
686,"ayer, hora, york",1,3
687,"hora, york, recibieron",1,3
688,"york, recibieron, ofertas",1,3
689,"recibieron, ofertas, millones",1,3
690,"ofertas, millones, monto",1,3
691,"millones, monto, agregado",1,3
692,"monto, agregado, comunicado",1,3
693,"agregado, comunicado, ecopetrol",1,3
694,"comunicado, ecopetrol, oferta",1,3
695,"ecopetrol, oferta, recompra",1,3
696,"oferta, recompra, seguirá",1,3
697,"recompra, seguirá, vigente",1,3
698,"seguirá, vigente, febrero",1,3
699,"vigente, febrero, hora",1,3
700,"febrero, hora, york",1,3
701,"hora, york, compañía",1,3
702,"york, compañía, anunció",1,3
703,"compañía, anunció, caso",1,3
704,"anunció, caso, extienda",1,3
705,"caso, extienda, finalice",1,3
706,"extienda, finalice, fecha",1,3
707,"finalice, fecha, acordada",1,3
708,"fecha, acordada, anunciará",1,3
709,"acordada, anunciará, mercado",1,3
710,"anunciará, mercado, petrolera",1,3
